id code x y demanda
0 D 50 150 0
1 S 25 25 0
2 S 50 25 0
3 S 75 25 0
4 S 25 50 0
5 S 75 50 0
6 S 25 75 0
7 S 50 75 0
8 S 75 75 0
9 F 25 25 0
10 F 50 25 0
11 F 75 25 0
12 F 25 50 0
13 F 75 50 0
14 F 25 75 0
15 F 50 75 0
16 F 75 75 0
17 F 40 50 0
18 F 73 52 0
19 F 90 55 0
20 F 55 79 0
21 F 69 89 0
22 F 32 80 0
23 F 39 96 0
24 F 23 80 0
25 F 4 83 0
26 F 18 58 0
27 F 1 56 0
28 F 13 31 0
29 F -5 38 0
30 F 26 37 0
31 F 28 13 0
32 F 39 31 0
33 F 48 11 0
34 F 59 17 0
35 F 73 23 0
36 F 74 32 0
37 F 90 44 0
38 C 45 68 10
39 C 45 70 30
40 C 42 66 10
41 C 42 68 10
42 C 42 65 10
43 C 40 69 20
44 C 40 66 20
45 C 38 68 20
46 C 38 70 10
47 C 35 66 10
48 C 35 69 10
49 C 25 85 20
50 C 22 75 30
51 C 22 85 10
52 C 20 80 40
53 C 20 85 40
54 C 18 75 20
55 C 15 75 20
56 C 15 80 10
57 C 30 50 10
58 C 30 52 20
59 C 28 52 20
60 C 28 55 10
61 C 25 50 10
62 C 25 52 40
63 C 25 55 10
64 C 23 52 10
65 C 23 55 20
66 C 20 50 10
67 C 20 55 10
68 C 10 35 20
69 C 10 40 30
70 C 8 40 40
71 C 8 45 20
72 C 5 35 10
73 C 5 45 10
74 C 2 40 20
75 C 0 40 30
76 C 0 45 20
77 C 35 30 10
78 C 35 32 10
79 C 33 32 20
80 C 33 35 10
81 C 32 30 10
82 C 30 30 10
83 C 30 32 30
84 C 30 35 10
85 C 28 30 10
86 C 28 35 10
87 C 26 32 10
88 C 25 30 10
89 C 25 35 10
90 C 44 5 20
91 C 42 10 40
92 C 42 15 10
93 C 40 5 30
94 C 40 15 40
95 C 38 5 30
96 C 38 15 10
97 C 35 5 20
98 C 50 30 10
99 C 50 35 20
100 C 50 40 50
101 C 48 30 10
102 C 48 40 10
103 C 47 35 10
104 C 47 40 10
105 C 45 30 10
106 C 45 35 10
107 C 95 30 30
108 C 95 35 20
109 C 53 30 10
110 C 92 30 10
111 C 53 35 50
112 C 45 65 20
113 C 90 35 10
114 C 88 30 10
115 C 88 35 20
116 C 87 30 10
117 C 85 25 10
118 C 85 35 30
119 C 75 55 20
120 C 72 55 10
121 C 70 58 20
122 C 68 60 30
123 C 66 55 10
124 C 65 55 20
125 C 65 60 30
126 C 63 58 10
127 C 60 55 10
128 C 60 60 10
129 C 67 85 20
130 C 65 85 40
131 C 65 82 10
132 C 62 80 30
133 C 60 80 10
134 C 60 85 30
135 C 58 75 20
136 C 55 80 10
137 C 55 85 20
