id code x y demanda
0 D 50 150 0
1 S 25 25 0
2 S 50 25 0
3 S 75 25 0
4 S 25 50 0
5 S 75 50 0
6 S 25 75 0
7 S 50 75 0
8 S 75 75 0
9 F 25 25 0
10 F 50 25 0
11 F 75 25 0
12 F 25 50 0
13 F 75 50 0
14 F 25 75 0
15 F 50 75 0
16 F 75 75 0
17 F 35 35 0
18 F 61 37 0
19 F 74 39 0
20 F 47 57 0
21 F 57 65 0
22 F 29 59 0
23 F 34 71 0
24 F 22 58 0
25 F 7 61 0
26 F 18 41 0
27 F 5 39 0
28 F 14 20 0
29 F 0 26 0
30 F 24 25 0
31 F 26 6 0
32 F 34 20 0
33 F 41 5 0
34 F 50 9 0
35 F 61 14 0
36 F 62 21 0
37 F 74 30 0
38 C 41 49 10
39 C 35 17 7
40 C 55 45 13
41 C 55 20 19
42 C 15 30 26
43 C 25 30 3
44 C 20 50 5
45 C 10 43 9
46 C 55 60 16
47 C 30 60 16
48 C 20 65 12
49 C 50 35 19
50 C 30 25 23
51 C 15 10 20
52 C 30 5 8
53 C 10 20 19
54 C 5 30 2
55 C 20 40 12
56 C 15 60 17
57 C 45 65 9
58 C 45 20 11
59 C 45 10 18
60 C 55 5 29
61 C 65 35 3
62 C 65 20 6
63 C 45 30 17
64 C 35 40 16
65 C 41 37 16
66 C 64 42 9
67 C 40 60 21
68 C 31 52 27
69 C 35 69 23
70 C 53 52 11
71 C 65 55 14
72 C 63 65 8
73 C 2 60 5
74 C 20 20 8
75 C 5 5 16
76 C 60 12 31
77 C 40 25 9
78 C 42 7 5
79 C 24 12 5
80 C 23 3 7
81 C 11 14 18
82 C 6 38 16
83 C 2 48 1
84 C 8 56 27
85 C 13 52 36
86 C 6 68 30
87 C 47 47 13
88 C 49 58 10
89 C 27 43 9
90 C 37 31 14
91 C 57 29 18
92 C 63 23 2
93 C 53 12 6
94 C 32 12 7
95 C 36 26 18
96 C 21 24 28
97 C 17 34 3
98 C 12 24 13
99 C 24 58 19
100 C 27 69 10
101 C 15 77 9
102 C 62 77 20
103 C 49 73 25
104 C 67 5 25
105 C 56 39 36
106 C 37 47 6
107 C 37 56 5
108 C 57 68 15
109 C 47 16 25
110 C 44 17 9
111 C 46 13 8
112 C 49 11 18
113 C 49 42 13
114 C 53 43 14
115 C 61 52 3
116 C 57 48 23
117 C 56 37 6
118 C 55 54 26
119 C 15 47 16
120 C 14 37 11
121 C 11 31 7
122 C 16 22 41
123 C 4 18 35
124 C 28 18 26
125 C 26 52 9
126 C 26 35 15
127 C 31 67 3
128 C 15 19 1
129 C 22 22 2
130 C 18 24 22
131 C 26 27 27
132 C 25 24 20
133 C 22 27 11
134 C 25 21 12
135 C 19 21 10
136 C 20 26 9
137 C 18 18 17
