id code x y demanda
0 D 50 150 0
1 S 25 25 0
2 S 50 25 0
3 S 75 25 0
4 S 25 50 0
5 S 75 50 0
6 S 25 75 0
7 S 50 75 0
8 S 75 75 0
9 F 25 25 0
10 F 50 25 0
11 F 75 25 0
12 F 25 50 0
13 F 75 50 0
14 F 25 75 0
15 F 50 75 0
16 F 75 75 0
17 F 40 50 0
18 F 73 52 0
19 F 90 55 0
20 F 55 79 0
21 F 69 89 0
22 F 32 80 0
23 F 39 96 0
24 F 23 80 0
25 F 4 83 0
26 F 18 58 0
27 F 1 56 0
28 F 13 31 0
29 F -5 38 0
30 F 26 37 0
31 F 28 13 0
32 F 39 31 0
33 F 48 11 0
34 F 59 17 0
35 F 73 23 0
36 F 74 32 0
37 F 90 44 0
38 C 25 85 20
39 C 22 75 30
40 C 22 85 10
41 C 20 80 40
42 C 20 85 20
43 C 18 75 20
44 C 15 75 20
45 C 15 80 10
46 C 10 35 20
47 C 10 40 30
48 C 8 40 40
49 C 8 45 20
50 C 5 35 10
51 C 5 45 10
52 C 2 40 20
53 C 0 40 20
54 C 0 45 20
55 C 44 5 20
56 C 42 10 40
57 C 42 15 10
58 C 40 5 10
59 C 40 15 40
60 C 38 5 30
61 C 38 15 10
62 C 35 5 20
63 C 95 30 30
64 C 95 35 20
65 C 92 30 10
66 C 90 35 10
67 C 88 30 10
68 C 88 35 20
69 C 87 30 10
70 C 85 25 10
71 C 85 35 30
72 C 67 85 20
73 C 65 85 40
74 C 65 82 10
75 C 62 80 30
76 C 60 80 10
77 C 60 85 30
78 C 58 75 20
79 C 55 80 10
80 C 55 85 20
81 C 55 82 10
82 C 20 82 10
83 C 18 80 10
84 C 2 45 10
85 C 42 5 10
86 C 42 12 10
87 C 72 35 30
88 C 55 20 19
89 C 25 30 3
90 C 20 50 5
91 C 55 60 16
92 C 30 60 16
93 C 50 35 19
94 C 30 25 23
95 C 15 10 20
96 C 10 20 19
97 C 15 60 17
98 C 45 65 9
99 C 65 35 3
100 C 65 20 6
101 C 45 30 17
102 C 35 40 16
103 C 41 37 16
104 C 64 42 9
105 C 40 60 21
106 C 31 52 27
107 C 35 69 23
108 C 65 55 14
109 C 63 65 8
110 C 2 60 5
111 C 20 20 8
112 C 5 5 16
113 C 60 12 31
114 C 23 3 7
115 C 8 56 27
116 C 6 68 30
117 C 47 47 13
118 C 49 58 10
119 C 27 43 9
120 C 37 31 14
121 C 57 29 18
122 C 63 23 2
123 C 21 24 28
124 C 12 24 13
125 C 24 58 19
126 C 67 5 25
127 C 37 47 6
128 C 49 42 13
129 C 53 43 14
130 C 61 52 3
131 C 57 48 23
132 C 56 37 6
133 C 55 54 26
134 C 4 18 35
135 C 26 52 9
136 C 26 35 15
137 C 31 67 3
